Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 7,7,0.4315,0.0089,0.4132,w2v-BERT,MSP-Podcast,5
Layer 8,8,0.4218,0.0066,0.4021,w2v-BERT,MSP-Podcast,5
Layer 9,9,0.4301,0.0028,0.4105,w2v-BERT,MSP-Podcast,5
Layer 10,10,0.4259,0.0019,0.4103,w2v-BERT,MSP-Podcast,5
Layer 11,11,0.4322,0.0043,0.4182,w2v-BERT,MSP-Podcast,5
Layer 12,12,0.4343,0.0058,0.4209,w2v-BERT,MSP-Podcast,5
Layer 13,13,0.4225,0.0057,0.4108,w2v-BERT,MSP-Podcast,5
Layer 14,14,0.4353,0.0039,0.4192,w2v-BERT,MSP-Podcast,5
Layer 15,15,0.4343,0.0071,0.4191,w2v-BERT,MSP-Podcast,5
Layer 16,16,0.4276,0.0052,0.4144,w2v-BERT,MSP-Podcast,5
Layer 17,17,0.4294,0.0061,0.4162,w2v-BERT,MSP-Podcast,5
Layer 18,18,0.4268,0.0054,0.4132,w2v-BERT,MSP-Podcast,5
Layer 19,19,0.4218,0.0067,0.4073,w2v-BERT,MSP-Podcast,5
Layer 20,20,0.4115,0.0047,0.3973,w2v-BERT,MSP-Podcast,5
Layer 21,21,0.4076,0.0055,0.3922,w2v-BERT,MSP-Podcast,5
Layer 22,22,0.4035,0.0061,0.389,w2v-BERT,MSP-Podcast,5
Layer 23,23,0.3898,0.0043,0.3773,w2v-BERT,MSP-Podcast,5
Layer 24,24,0.3943,0.0101,0.3749,w2v-BERT,MSP-Podcast,5
