Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 5,5,0.5854,0.0054,0.5817,Whisper,MSP-Podcast,5
Layer 6,6,0.5825,0.0051,0.5798,Whisper,MSP-Podcast,5
Layer 7,7,0.5836,0.0075,0.5814,Whisper,MSP-Podcast,5
Layer 8,8,0.586,0.0096,0.5831,Whisper,MSP-Podcast,5
Layer 9,9,0.593,0.0096,0.5903,Whisper,MSP-Podcast,5
Layer 10,10,0.5901,0.0048,0.5879,Whisper,MSP-Podcast,5
Layer 11,11,0.6017,0.0052,0.6004,Whisper,MSP-Podcast,5
Layer 12,12,0.5964,0.0049,0.5948,Whisper,MSP-Podcast,5
Layer 13,13,0.6,0.0082,0.5992,Whisper,MSP-Podcast,5
Layer 14,14,0.5994,0.0093,0.5996,Whisper,MSP-Podcast,5
Layer 15,15,0.5931,0.0117,0.5941,Whisper,MSP-Podcast,5
Layer 16,16,0.6009,0.0056,0.6007,Whisper,MSP-Podcast,5
Layer 17,17,0.6006,0.0067,0.6007,Whisper,MSP-Podcast,5
Layer 18,18,0.5998,0.0023,0.6001,Whisper,MSP-Podcast,5
Layer 19,19,0.6038,0.007,0.6051,Whisper,MSP-Podcast,5
Layer 20,20,0.6068,0.0035,0.6078,Whisper,MSP-Podcast,5
Layer 21,21,0.6094,0.0083,0.6102,Whisper,MSP-Podcast,5
Layer 22,22,0.614,0.008,0.6157,Whisper,MSP-Podcast,5
Layer 23,23,0.6137,0.0087,0.6158,Whisper,MSP-Podcast,5
Layer 24,24,0.6141,0.0086,0.6167,Whisper,MSP-Podcast,5
