Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 3,3,0.5161,0.0111,0.5159,wav2vec2,IEMOCAP,5
Layer 4,4,0.507,0.0113,0.5064,wav2vec2,IEMOCAP,5
Layer 5,5,0.5097,0.0214,0.5096,wav2vec2,IEMOCAP,5
Layer 6,6,0.5128,0.0166,0.5121,wav2vec2,IEMOCAP,5
Layer 7,7,0.5172,0.0143,0.5166,wav2vec2,IEMOCAP,5
Layer 8,8,0.5258,0.0132,0.5254,wav2vec2,IEMOCAP,5
Layer 9,9,0.517,0.0126,0.5165,wav2vec2,IEMOCAP,5
Layer 10,10,0.5143,0.0064,0.5137,wav2vec2,IEMOCAP,5
Layer 11,11,0.5231,0.0127,0.5227,wav2vec2,IEMOCAP,5
Layer 12,12,0.5084,0.0211,0.5079,wav2vec2,IEMOCAP,5
Layer 13,13,0.5181,0.0169,0.5175,wav2vec2,IEMOCAP,5
Layer 14,14,0.5071,0.01,0.5063,wav2vec2,IEMOCAP,5
Layer 15,15,0.5029,0.0167,0.502,wav2vec2,IEMOCAP,5
Layer 16,16,0.5079,0.0159,0.5072,wav2vec2,IEMOCAP,5
Layer 17,17,0.5103,0.0199,0.5096,wav2vec2,IEMOCAP,5
Layer 18,18,0.493,0.0066,0.4922,wav2vec2,IEMOCAP,5
Layer 19,19,0.5009,0.0275,0.5005,wav2vec2,IEMOCAP,5
Layer 20,20,0.4965,0.0096,0.496,wav2vec2,IEMOCAP,5
Layer 21,21,0.4941,0.0053,0.4939,wav2vec2,IEMOCAP,5
Layer 22,22,0.4645,0.0164,0.464,wav2vec2,IEMOCAP,5
Layer 23,23,0.4401,0.0068,0.4397,wav2vec2,IEMOCAP,5
Layer 24,24,0.3841,0.0102,0.3838,wav2vec2,IEMOCAP,5
