Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 6,6,0.9439,0.0187,0.9432,w2v-BERT,EmoDB,20
Layer 7,7,0.9402,0.0173,0.9398,w2v-BERT,EmoDB,20
Layer 8,8,0.9196,0.0293,0.919,w2v-BERT,EmoDB,20
Layer 9,9,0.9458,0.0137,0.9456,w2v-BERT,EmoDB,20
Layer 10,10,0.9402,0.0218,0.9396,w2v-BERT,EmoDB,20
Layer 11,11,0.9252,0.0229,0.9229,w2v-BERT,EmoDB,20
Layer 12,12,0.9065,0.0102,0.9048,w2v-BERT,EmoDB,20
Layer 13,13,0.886,0.026,0.8837,w2v-BERT,EmoDB,20
Layer 14,14,0.9234,0.032,0.9217,w2v-BERT,EmoDB,20
Layer 15,15,0.9402,0.014,0.9394,w2v-BERT,EmoDB,20
Layer 16,16,0.957,0.0293,0.9565,w2v-BERT,EmoDB,20
Layer 17,17,0.9514,0.0254,0.9508,w2v-BERT,EmoDB,20
Layer 18,18,0.929,0.0293,0.928,w2v-BERT,EmoDB,20
Layer 19,19,0.9047,0.0309,0.9038,w2v-BERT,EmoDB,20
Layer 20,20,0.9009,0.0305,0.9001,w2v-BERT,EmoDB,20
Layer 21,21,0.8579,0.0161,0.8577,w2v-BERT,EmoDB,20
Layer 22,22,0.828,0.0287,0.827,w2v-BERT,EmoDB,20
Layer 23,23,0.7832,0.0171,0.7816,w2v-BERT,EmoDB,20
Layer 24,24,0.7121,0.0137,0.7088,w2v-BERT,EmoDB,20
CNN,0,0.2692,0.0398,0.2746,w2v-BERT,EmoDB,5
Layer 1,1,0.628,0.0751,0.6226,w2v-BERT,EmoDB,5
Layer 2,2,0.772,0.0268,0.7666,w2v-BERT,EmoDB,5
Layer 3,3,0.8766,0.0436,0.8737,w2v-BERT,EmoDB,5
Layer 4,4,0.9103,0.0248,0.9091,w2v-BERT,EmoDB,5
Layer 5,5,0.8972,0.0196,0.8955,w2v-BERT,EmoDB,5
Layer 6,6,0.9047,0.0273,0.9038,w2v-BERT,EmoDB,5
Layer 7,7,0.914,0.0298,0.9125,w2v-BERT,EmoDB,5
Layer 8,8,0.8766,0.0428,0.8743,w2v-BERT,EmoDB,5
Layer 9,9,0.9308,0.0173,0.9304,w2v-BERT,EmoDB,5
Layer 10,10,0.9009,0.0248,0.8986,w2v-BERT,EmoDB,5
Layer 11,11,0.8654,0.0201,0.8622,w2v-BERT,EmoDB,5
Layer 12,12,0.828,0.0248,0.8253,w2v-BERT,EmoDB,5
Layer 13,13,0.8131,0.0364,0.807,w2v-BERT,EmoDB,5
Layer 14,14,0.8879,0.0469,0.8856,w2v-BERT,EmoDB,5
Layer 15,15,0.8897,0.0239,0.8876,w2v-BERT,EmoDB,5
Layer 16,16,0.9252,0.0229,0.9239,w2v-BERT,EmoDB,5
Layer 17,17,0.9159,0.0318,0.9155,w2v-BERT,EmoDB,5
Layer 18,18,0.886,0.032,0.8838,w2v-BERT,EmoDB,5
Layer 19,19,0.8486,0.0191,0.8473,w2v-BERT,EmoDB,5
Layer 20,20,0.8093,0.0192,0.8054,w2v-BERT,EmoDB,5
Layer 21,21,0.7832,0.0124,0.7795,w2v-BERT,EmoDB,5
Layer 22,22,0.7439,0.0218,0.736,w2v-BERT,EmoDB,5
Layer 23,23,0.6953,0.0433,0.6864,w2v-BERT,EmoDB,5
Layer 24,24,0.6243,0.0371,0.6187,w2v-BERT,EmoDB,5
