Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.2947,0.0271,0.2949,w2v-BERT,AESDD,clean
Layer 1,1,0.6424,0.0381,0.6399,w2v-BERT,AESDD,clean
Layer 2,2,0.7549,0.0241,0.7543,w2v-BERT,AESDD,clean
Layer 3,3,0.8559,0.0406,0.8551,w2v-BERT,AESDD,clean
Layer 4,4,0.8874,0.0367,0.8864,w2v-BERT,AESDD,clean
Layer 5,5,0.8858,0.0246,0.8851,w2v-BERT,AESDD,clean
Layer 6,6,0.8742,0.0282,0.8734,w2v-BERT,AESDD,clean
Layer 7,7,0.8759,0.0401,0.8761,w2v-BERT,AESDD,clean
Layer 8,8,0.856,0.0296,0.8559,w2v-BERT,AESDD,clean
Layer 9,9,0.9089,0.0196,0.9085,w2v-BERT,AESDD,clean
Layer 10,10,0.8824,0.0383,0.8813,w2v-BERT,AESDD,clean
Layer 11,11,0.8659,0.018,0.8649,w2v-BERT,AESDD,clean
Layer 12,12,0.8328,0.0109,0.8333,w2v-BERT,AESDD,clean
Layer 13,13,0.841,0.0276,0.8399,w2v-BERT,AESDD,clean
Layer 14,14,0.8477,0.0292,0.8464,w2v-BERT,AESDD,clean
Layer 15,15,0.8742,0.0192,0.8736,w2v-BERT,AESDD,clean
Layer 16,16,0.9238,0.0142,0.9234,w2v-BERT,AESDD,clean
Layer 17,17,0.947,0.0162,0.9466,w2v-BERT,AESDD,clean
Layer 18,18,0.9239,0.0224,0.9238,w2v-BERT,AESDD,clean
Layer 19,19,0.9106,0.0229,0.9107,w2v-BERT,AESDD,clean
Layer 20,20,0.8825,0.0257,0.8822,w2v-BERT,AESDD,clean
Layer 21,21,0.8444,0.0216,0.8438,w2v-BERT,AESDD,clean
Layer 22,22,0.7915,0.0319,0.7899,w2v-BERT,AESDD,clean
Layer 23,23,0.7434,0.0431,0.7433,w2v-BERT,AESDD,clean
Layer 24,24,0.6242,0.0374,0.6233,w2v-BERT,AESDD,clean
CNN,0,0.2617,0.0484,0.2595,w2v-BERT,AESDD,0
Layer 1,1,0.462,0.0444,0.4592,w2v-BERT,AESDD,0
Layer 2,2,0.5795,0.0279,0.5788,w2v-BERT,AESDD,0
Layer 3,3,0.7037,0.021,0.7011,w2v-BERT,AESDD,0
Layer 4,4,0.7897,0.0157,0.7879,w2v-BERT,AESDD,0
Layer 5,5,0.8179,0.0332,0.8155,w2v-BERT,AESDD,0
Layer 6,6,0.7732,0.0091,0.7709,w2v-BERT,AESDD,0
Layer 7,7,0.7831,0.0212,0.7829,w2v-BERT,AESDD,0
Layer 8,8,0.7252,0.0396,0.7247,w2v-BERT,AESDD,0
Layer 9,9,0.7914,0.0464,0.7882,w2v-BERT,AESDD,0
Layer 10,10,0.7632,0.0423,0.762,w2v-BERT,AESDD,0
Layer 11,11,0.7367,0.0198,0.7336,w2v-BERT,AESDD,0
Layer 12,12,0.7004,0.0185,0.696,w2v-BERT,AESDD,0
Layer 13,13,0.6987,0.0278,0.6963,w2v-BERT,AESDD,0
Layer 14,14,0.7268,0.0136,0.7273,w2v-BERT,AESDD,0
Layer 15,15,0.7732,0.0249,0.7729,w2v-BERT,AESDD,0
Layer 16,16,0.8112,0.0158,0.8094,w2v-BERT,AESDD,0
Layer 17,17,0.8542,0.0265,0.8545,w2v-BERT,AESDD,0
Layer 18,18,0.7946,0.032,0.793,w2v-BERT,AESDD,0
Layer 19,19,0.7583,0.03,0.7583,w2v-BERT,AESDD,0
Layer 20,20,0.7649,0.032,0.764,w2v-BERT,AESDD,0
Layer 21,21,0.7086,0.0395,0.7079,w2v-BERT,AESDD,0
Layer 22,22,0.649,0.0313,0.6465,w2v-BERT,AESDD,0
Layer 23,23,0.6028,0.0435,0.6018,w2v-BERT,AESDD,0
Layer 24,24,0.4934,0.0169,0.4893,w2v-BERT,AESDD,0
CNN,0,0.2732,0.0303,0.2709,w2v-BERT,AESDD,10
Layer 1,1,0.5397,0.0191,0.5365,w2v-BERT,AESDD,10
Layer 2,2,0.6722,0.0284,0.673,w2v-BERT,AESDD,10
Layer 3,3,0.7963,0.0364,0.7953,w2v-BERT,AESDD,10
Layer 4,4,0.8758,0.0141,0.875,w2v-BERT,AESDD,10
Layer 5,5,0.8841,0.0272,0.8839,w2v-BERT,AESDD,10
Layer 6,6,0.8576,0.0295,0.8571,w2v-BERT,AESDD,10
Layer 7,7,0.8377,0.0272,0.8377,w2v-BERT,AESDD,10
Layer 8,8,0.8113,0.0252,0.8103,w2v-BERT,AESDD,10
Layer 9,9,0.8675,0.0274,0.8667,w2v-BERT,AESDD,10
Layer 10,10,0.841,0.0367,0.8397,w2v-BERT,AESDD,10
Layer 11,11,0.8178,0.0356,0.8168,w2v-BERT,AESDD,10
Layer 12,12,0.7765,0.0252,0.7742,w2v-BERT,AESDD,10
Layer 13,13,0.7683,0.0235,0.7645,w2v-BERT,AESDD,10
Layer 14,14,0.7914,0.0132,0.79,w2v-BERT,AESDD,10
Layer 15,15,0.8343,0.0353,0.8335,w2v-BERT,AESDD,10
Layer 16,16,0.8907,0.0223,0.8899,w2v-BERT,AESDD,10
Layer 17,17,0.9106,0.0225,0.9103,w2v-BERT,AESDD,10
Layer 18,18,0.8758,0.0174,0.8752,w2v-BERT,AESDD,10
Layer 19,19,0.8312,0.0381,0.8304,w2v-BERT,AESDD,10
