Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4965,0.0396,0.4932
Layer 1,1,0.5488,0.0545,0.5455
Layer 2,2,0.5905,0.0624,0.5886
Layer 3,3,0.6253,0.0555,0.6225
Layer 4,4,0.688,0.0299,0.6863
Layer 5,5,0.7088,0.0273,0.7086
Layer 6,6,0.7367,0.0355,0.7356
Layer 7,7,0.7332,0.0312,0.7321
Layer 8,8,0.7216,0.038,0.7218
Layer 9,9,0.739,0.0313,0.7385
Layer 10,10,0.7819,0.0175,0.7813
Layer 11,11,0.7772,0.0427,0.7767
Layer 12,12,0.7784,0.0233,0.7775
Layer 13,13,0.7297,0.0133,0.7292
Layer 14,14,0.7263,0.0278,0.7247
Layer 15,15,0.7228,0.0384,0.7208
Layer 16,16,0.7378,0.0281,0.7358
Layer 17,17,0.7332,0.0127,0.7326
Layer 18,18,0.7401,0.0217,0.7402
Layer 19,19,0.7285,0.0267,0.7283
Layer 20,20,0.7239,0.0239,0.7242
Layer 21,21,0.7134,0.0301,0.7144
Layer 22,22,0.703,0.0382,0.7037
Layer 23,23,0.703,0.0331,0.7035
Layer 24,24,0.717,0.0179,0.7173
