Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.558,0.0154,0.5575
Layer 1,1,0.6102,0.0289,0.6086
Layer 2,2,0.6334,0.0107,0.6319
Layer 3,3,0.6566,0.0114,0.6539
Layer 4,4,0.652,0.0201,0.6481
Layer 5,5,0.6555,0.0243,0.6543
Layer 6,6,0.6578,0.0255,0.657
Layer 7,7,0.645,0.0164,0.6434
Layer 8,8,0.6392,0.025,0.6378
Layer 9,9,0.6229,0.0396,0.6214
Layer 10,10,0.6091,0.03,0.6081
Layer 11,11,0.5801,0.0344,0.5772
Layer 12,12,0.565,0.04,0.5628
Layer 13,13,0.5615,0.0341,0.5581
Layer 14,14,0.5731,0.0307,0.5707
Layer 15,15,0.565,0.0468,0.5632
Layer 16,16,0.5244,0.0448,0.5209
Layer 17,17,0.5082,0.039,0.5045
Layer 18,18,0.4954,0.0178,0.4932
Layer 19,19,0.4803,0.0498,0.4804
Layer 20,20,0.4721,0.0493,0.4704
Layer 21,21,0.4849,0.0391,0.4831
Layer 22,22,0.4594,0.0189,0.4585
Layer 23,23,0.4525,0.0346,0.4508
Layer 24,24,0.4281,0.0489,0.4274
