Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5645,0.0475,0.5575
Layer 1,1,0.6168,0.0307,0.6123
Layer 2,2,0.6785,0.0437,0.6687
Layer 3,3,0.7103,0.0438,0.6997
Layer 4,4,0.7514,0.0433,0.7421
Layer 5,5,0.7607,0.0348,0.7501
Layer 6,6,0.7701,0.0362,0.7605
Layer 7,7,0.7963,0.0181,0.7919
Layer 8,8,0.8,0.0095,0.7944
Layer 9,9,0.7907,0.0046,0.7832
Layer 10,10,0.785,0.0264,0.7788
Layer 11,11,0.7645,0.032,0.7558
Layer 12,12,0.757,0.0477,0.7519
Layer 13,13,0.7477,0.0229,0.7414
Layer 14,14,0.7402,0.0273,0.7334
Layer 15,15,0.7327,0.0429,0.7256
Layer 16,16,0.7215,0.0448,0.7157
Layer 17,17,0.7196,0.0418,0.7121
Layer 18,18,0.729,0.0313,0.7226
Layer 19,19,0.7364,0.0326,0.7288
Layer 20,20,0.7084,0.0286,0.6989
Layer 21,21,0.714,0.0293,0.7067
Layer 22,22,0.7178,0.0298,0.7115
Layer 23,23,0.7252,0.0299,0.7205
Layer 24,24,0.7178,0.0286,0.7123
