Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5656,0.0198,0.5655
Layer 1,1,0.554,0.0101,0.5539
Layer 2,2,0.5573,0.0158,0.5571
Layer 3,3,0.5709,0.012,0.5709
Layer 4,4,0.5711,0.0151,0.5706
Layer 5,5,0.5778,0.0176,0.5774
Layer 6,6,0.5722,0.0226,0.5716
Layer 7,7,0.5773,0.0254,0.5767
Layer 8,8,0.5877,0.0106,0.5874
Layer 9,9,0.5855,0.0126,0.5855
Layer 10,10,0.5923,0.0145,0.5921
Layer 11,11,0.5912,0.0051,0.5906
Layer 12,12,0.5886,0.0145,0.588
Layer 13,13,0.5766,0.0145,0.5762
Layer 14,14,0.5734,0.0097,0.5726
Layer 15,15,0.5762,0.0144,0.5756
Layer 16,16,0.5712,0.013,0.5711
Layer 17,17,0.5764,0.005,0.576
Layer 18,18,0.5751,0.0058,0.5747
Layer 19,19,0.5846,0.0123,0.5843
Layer 20,20,0.5632,0.016,0.5629
Layer 21,21,0.5656,0.0086,0.5652
Layer 22,22,0.5449,0.0053,0.5444
Layer 23,23,0.5227,0.0094,0.5224
Layer 24,24,0.4647,0.0114,0.4643
