Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5776,0.0161,0.5722
Layer 1,1,0.7103,0.0296,0.7088
Layer 2,2,0.7869,0.0208,0.7836
Layer 3,3,0.8187,0.0316,0.8131
Layer 4,4,0.8449,0.0367,0.8414
Layer 5,5,0.8822,0.0201,0.8787
Layer 6,6,0.9103,0.0152,0.9088
Layer 7,7,0.9346,0.0221,0.9335
Layer 8,8,0.9346,0.0307,0.9335
Layer 9,9,0.9383,0.0218,0.9373
Layer 10,10,0.9477,0.0226,0.9469
Layer 11,11,0.9495,0.0226,0.9494
Layer 12,12,0.9589,0.0268,0.9583
Layer 13,13,0.9533,0.0196,0.9523
Layer 14,14,0.957,0.0163,0.9564
Layer 15,15,0.957,0.021,0.9566
Layer 16,16,0.9495,0.0226,0.9492
Layer 17,17,0.9551,0.0247,0.9547
Layer 18,18,0.9589,0.0173,0.9584
Layer 19,19,0.9495,0.0112,0.949
Layer 20,20,0.9364,0.02,0.9351
Layer 21,21,0.9383,0.0226,0.9379
Layer 22,22,0.9346,0.0156,0.9337
Layer 23,23,0.929,0.0183,0.928
Layer 24,24,0.9234,0.0109,0.922
